,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,y_hat,residuals
22,45,RM,57,7449,Pave,1,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,4,4,4,6,0,6,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,3,2,1930,3,1,280,5,5,N,0,0,205,0,0,0,NoPool,1,None,0,6,2007,WD,Normal,11.8451027773086,11.828284077239044,0.01681870006955677
23,20,RL,75,9742,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,Gd,TA,PConc,3,4,4,6,0,6,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,3,2,2002,2,2,534,5,5,Y,171,159,0,0,0,0,NoPool,NoFence,None,0,9,2008,WD,Normal,12.3458345879053,12.397268083434476,-0.0514334955291762
24,120,RM,44,4224,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,PConc,3,4,4,3,840,6,0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,5,2,1976,3,2,572,5,5,Y,100,110,0,0,0,0,NoPool,NoFence,None,0,6,2007,WD,Normal,11.774520202658698,11.909416278114143,-0.1348960754554458
25,20,RL,0,8246,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0,TA,Gd,CBlock,4,4,3,5,188,1,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,5,2,1968,3,1,270,5,5,Y,406,90,0,0,0,0,NoPool,3,None,0,5,2010,WD,Normal,11.9447078813958,11.978561895422638,-0.033854014026838186
26,20,RL,110,14230,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640,Gd,TA,PConc,3,4,4,6,0,6,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,3,2,2007,2,3,890,5,5,Y,0,56,0,0,0,0,NoPool,NoFence,None,0,7,2009,WD,Normal,12.454103912352199,12.423618856080799,0.030485056271400524
27,20,RL,60,7200,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,4,4,3,2,234,5,486,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,NoFire,6,2005,3,2,576,5,5,Y,222,32,0,0,0,0,NoPool,NoFence,None,0,5,2010,WD,Normal,11.811547477460302,11.776857795099284,0.03468968236101766
28,20,RL,98,11478,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,Gd,TA,PConc,1,4,4,3,1218,6,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,3,2,2008,2,3,772,5,5,Y,0,50,0,0,0,0,NoPool,NoFence,None,0,5,2010,WD,Normal,12.631340380934502,12.530406455414306,0.10093392552019509
29,20,RL,47,16321,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,4,4,2,2,1277,6,0,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,3,2,1957,2,1,319,5,5,Y,288,258,0,0,0,0,NoPool,NoFence,None,0,12,2006,WD,Normal,12.2428866186529,12.05665844072776,0.18622817792513935
30,30,RM,60,6324,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,4,4,4,6,0,6,0,520,520,GasA,Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,NoFire,6,1920,3,1,240,2,5,Y,49,0,87,0,0,0,NoPool,NoFence,None,0,5,2008,WD,Normal,11.1345890242503,11.307103914117285,-0.17251488986698504
31,70,C (all),50,8500,Pave,2,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0,TA,Fa,BrkTil,4,4,4,6,0,6,0,649,649,GasA,TA,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,NoFire,6,1920,3,1,250,5,2,N,0,54,172,0,0,0,NoPool,3,None,0,7,2008,WD,Normal,10.5966347330961,11.351376126702675,-0.7547413936065759
32,20,RL,0,8544,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,4,4,4,6,0,6,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,NoFire,2,1966,3,1,271,5,5,Y,0,65,0,0,0,0,NoPool,3,None,0,6,2008,WD,Normal,11.914047823644301,11.789628478791126,0.12441934485317496
33,20,RL,85,11049,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,1,4,1,6,0,6,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,NoFire,2,2007,2,2,484,5,5,Y,0,30,0,0,0,0,NoPool,NoFence,None,0,1,2008,WD,Normal,12.1001564199386,12.213207329489833,-0.11305090955123376
34,20,RL,70,10552,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0,TA,TA,CBlock,4,4,4,5,1018,6,0,380,1398,GasA,Gd,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,3,2,1959,2,2,447,5,5,Y,0,38,0,0,0,0,NoPool,NoFence,None,0,4,2010,WD,Normal,12.0167264737993,11.909153200776931,0.10757327302236952
35,120,RL,60,7313,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,Ex,TA,PConc,1,4,4,3,1153,6,0,408,1561,GasA,Ex,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,3,2,2005,1,2,556,5,5,Y,203,47,0,0,0,0,NoPool,NoFence,None,0,8,2007,WD,Normal,12.533576212168601,12.459958183449256,0.07361802871934486
36,60,RL,108,13418,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132,Gd,TA,PConc,1,4,1,6,0,6,0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,3,4,2004,1,3,691,5,5,Y,113,32,0,0,0,0,NoPool,NoFence,None,0,9,2006,WD,Normal,12.641096555879901,12.615058445008215,0.026038110871686726
37,20,RL,112,10859,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,3,4,4,6,0,6,0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,NoFire,2,1995,3,2,672,5,5,Y,392,64,0,0,0,0,NoPool,NoFence,None,0,6,2009,WD,Normal,11.8844890214027,11.879105570905107,0.005383450497593145
38,20,RL,74,8532,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650,TA,TA,CBlock,4,4,4,5,1213,6,0,84,1297,GasA,Gd,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,5,2,1954,1,2,498,5,5,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,10,2009,WD,Normal,11.938193200374599,11.872056826114127,0.0661363742604717
39,20,RL,68,7922,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,4,4,4,3,731,6,0,326,1057,GasA,TA,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,NoFire,6,1953,3,1,246,5,5,Y,0,52,0,0,0,0,NoPool,NoFence,None,0,1,2010,WD,Abnorml,11.5991031612113,11.77636182028858,-0.17725865907728
40,90,RL,65,6040,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0,TA,TA,PConc,NoBsmt,NoBsmt,NoBsmt,NoBsmt,0,NoBsmt,0,0,0,GasA,TA,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,NoFire,NoGarage,1955,NoGarage,0,0,NoGarage,NoGarage,N,0,0,0,0,0,0,NoPool,NoFence,None,0,6,2008,WD,AdjLand,11.3144745262464,11.325117006409059,-0.010642480162658785
41,20,RL,84,8658,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,TA,TA,CBlock,4,4,4,5,643,6,0,445,1088,GasA,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,5,2,1965,2,2,440,5,5,Y,0,138,0,0,0,0,NoPool,2,None,0,12,2006,WD,Abnorml,11.982929094216,11.939061014189932,0.04386808002606912
42,20,RL,115,16905,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,4,4,2,2,967,6,0,383,1350,GasA,Gd,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,3,2,1959,2,1,308,5,5,P,0,104,0,0,0,0,NoPool,NoFence,None,0,7,2007,WD,Normal,12.0435537160324,11.867464968600903,0.17608874743149805
43,85,RL,0,9180,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,3,4,1,1,747,4,93,0,840,GasA,Gd,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,NoFire,2,1983,2,2,504,5,3,Y,240,0,0,0,0,0,NoPool,3,None,0,12,2007,WD,Normal,11.8775685785581,11.891490331227764,-0.01392175266966511
44,20,RL,0,9200,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,3,4,1,4,280,2,491,167,938,GasA,TA,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,NoFire,6,1977,3,1,308,5,5,Y,145,0,0,0,0,0,NoPool,3,None,0,7,2008,WD,Normal,11.7772109596156,11.776299949666857,0.0009110099487426027
45,20,RL,70,7945,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,4,4,4,1,179,2,506,465,1150,GasA,Ex,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,NoFire,2,1959,2,1,300,5,5,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,5,2006,WD,Normal,11.856515169360302,11.756320509808717,0.10019465955158502
46,120,RL,61,7658,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412,Ex,TA,PConc,1,4,4,3,456,6,0,1296,1752,GasA,Ex,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,3,2,2005,2,2,576,5,5,Y,196,82,0,0,0,0,NoPool,NoFence,None,0,2,2010,WD,Normal,12.6757637259376,12.4683980874505,0.207365638487099
47,50,RL,48,12822,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,1,4,4,3,1351,6,0,83,1434,GasA,Ex,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,1,2,2003,2,2,670,5,5,Y,168,43,0,0,198,0,NoPool,NoFence,None,0,8,2009,WD,Abnorml,12.3870850123755,12.477830104889529,-0.09074509251402851
